Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-01-20 13:28:45,"Chest A",21m,"Chest Dip",3,70.0,12,0,0,,,
2022-01-20 13:28:45,"Chest A",21m,"Chest Dip",4,55.0,12,0,0,,,
2022-01-20 13:28:45,"Chest A",21m,"Incline Bench Press (Barbell)",1,125.0,8,0,0,"",,
2022-01-20 13:28:45,"Chest A",21m,"Incline Bench Press (Barbell)",2,135.0,8,0,0,,,
2022-01-20 13:28:45,"Chest A",21m,"Incline Bench Press (Barbell)",3,145.0,8,0,0,,,
2022-01-20 13:28:45,"Chest A",21m,"Incline Bench Press (Dumbbell)",1,45.0,8,0,0,"",,
2022-01-20 13:28:45,"Chest A",21m,"Incline Bench Press (Dumbbell)",2,50.0,8,0,0,,,
2022-01-20 13:28:45,"Chest A",21m,"Incline Bench Press (Dumbbell)",3,55.0,8,0,0,,,
2022-01-20 13:28:45,"Chest A",21m,"Incline Bench Press (Dumbbell)",4,60.0,8,0,0,,,
2022-01-20 13:28:45,"Chest A",21m,"Cable Crossover",1,15.0,20,0,0,"",,
2022-02-17 16:59:04,"Back A",41m,"Pull Up (Assisted)",1,145.0,20,0,0,"","",
2022-02-17 16:59:04,"Back A",41m,"Pull Up (Assisted)",2,130.0,20,0,0,,,
2022-02-17 16:59:04,"Back A",41m,"Pull Up (Assisted)",3,115.0,20,0,0,,,
2022-02-17 16:59:04,"Back A",41m,"Pull Up (Assisted)",4,100.0,11,0,0,,,
2022-02-17 16:59:04,"Back A",41m,"Bent Over Row Warm Up",1,45.0,20,0,0,"",,
2022-02-17 16:59:04,"Back A",41m,"Bent Over Row Warm Up",2,55.0,20,0,0,,,
2022-02-17 16:59:04,"Back A",41m,"Deadlift (Barbell)",1,145.0,10,0,0,"Set 1: 50% 1rm for 10\nSet 2: 70% 1rm as many\nSet 3: 90% 1rm as many ",,6
2022-02-17 16:59:04,"Back A",41m,"Deadlift (Barbell)",2,225.0,10,0,0,,,8
2022-02-17 16:59:04,"Back A",41m,"Deadlift (Barbell)",3,265.0,6,0,0,,,9.5
2022-02-17 16:59:04,"Back A",41m,"Bent Over Row (Barbell)",1,115.0,8,0,0,"",,
2022-02-17 16:59:04,"Back A",41m,"Bent Over Row (Barbell)",2,125.0,8,0,0,,,
2022-02-17 16:59:04,"Back A",41m,"Bent Over Row (Barbell)",3,135.0,8,0,0,,,
2022-02-17 16:59:04,"Back A",41m,"Seated Row (Cable)",1,40.0,8,0,0,"SLOW ",,
2022-02-17 16:59:04,"Back A",41m,"Seated Row (Cable)",2,50.0,8,0,0,,,
2022-02-17 16:59:04,"Back A",41m,"Seated Row (Cable)",3,60.0,8,0,0,,,
2022-02-17 16:59:04,"Back A",41m,"Seated Row (Cable)",4,70.0,8,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Chest Fly (Dumbbell)",1,15.0,8,0,0,"","",
2022-02-21 14:15:23,"Chest A",1h 56m,"Chest Fly (Dumbbell)",2,17.5,8,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Chest Dip",1,100.0,12,0,0,"",,
2022-02-21 14:15:23,"Chest A",1h 56m,"Chest Dip",2,85.0,12,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Chest Dip",3,70.0,12,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Chest Dip",4,55.0,12,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Incline Bench Press (Barbell)",1,115.0,8,0,0,"",,
2022-02-21 14:15:23,"Chest A",1h 56m,"Incline Bench Press (Barbell)",2,125.0,8,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Incline Bench Press (Barbell)",3,135.0,8,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Incline Bench Press (Dumbbell)",1,45.0,8,0,0,"",,
2022-02-21 14:15:23,"Chest A",1h 56m,"Incline Bench Press (Dumbbell)",2,50.0,8,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Incline Bench Press (Dumbbell)",3,55.0,8,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Incline Bench Press (Dumbbell)",4,60.0,8,0,0,,,
2022-02-21 14:15:23,"Chest A",1h 56m,"Cable Crossover",1,15.0,20,0,0,"",,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Overhead Press (Barbell)",1,74.99999999999999,8,0,0,"","",
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Overhead Press (Barbell)",2,85.0,8,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Overhead Press (Barbell)",3,95.0,8,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Lateral Raise (Cable)",1,7.5,10,0,0,"",,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Lateral Raise (Cable)",2,12.5,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Lateral Raise (Cable)",3,17.5,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Arm/Should Extension",1,7.5,10,0,0,"",,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Arm/Should Extension",2,12.5,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Arm/Should Extension",3,17.5,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Front Raise (Dumbbell)",1,10.0,10,0,0,"",,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Front Raise (Dumbbell)",2,12.5,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Front Raise (Dumbbell)",3,15.0,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Lateral Raise (Dumbbell)",1,10.0,10,0,0,"",,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Lateral Raise (Dumbbell)",2,12.5,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Lateral Raise (Dumbbell)",3,15.0,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Overhead Press (Dumbbell)",1,35.0,10,0,0,"",,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Overhead Press (Dumbbell)",2,40.0,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Overhead Press (Dumbbell)",3,45.0,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Shrug (Dumbbell)",1,55.0,10,0,0,"",,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Shrug (Dumbbell)",2,60.0,10,0,0,,,
2022-02-25 16:40:57,"Shoulders A",1h 12m,"Shrug (Dumbbell)",3,65.0,10,0,0,,,
